Gender,acc,acq,acs,acu,ape,apf,api
Male,629.85668,558.97336,550.24926,550.71662,569.72268,579.53732,615.99158
Female,650.88798,578.91416,595.11606,608.82536,604.93066,616.77054,640.13866
Male,440.88644,409.57314,428.8908,477.3407,443.37904,432.78546,465.50086
Male,512.54868,483.26064,477.96386,521.74014,477.80808,491.67318,568.78798
Male,506.3951,512.00344,506.86242,513.09396,483.02696,514.96342,553.91026
Male,491.43946,472.74498,500.0078,518.54652,467.91558,510.44556,515.8981
Male,385.65974,378.8051,409.9626,418.21934,396.4091,382.23244,428.81288
Male,421.1793,359.17588,379.73982,354.0349,397.34384,400.148,438.31594
Female,400.45958,412.92258,399.68064,398.27854,366.96524,359.33166,476.3281
Male,552.89764,480.30064,471.42076,528.43898,525.47902,526.88114,553.98816
Male,446.57266,491.43946,461.52826,477.88596,428.96868,484.58482,471.65448
Male,444.859,421.02352,408.09314,398.74592,398.12276,440.34118,380.83034
Male,517.68968,521.117,483.5722,574.24054,532.48948,522.51906,551.96292
Female,511.53606,531.1653,474.30286,535.83894,488.47952,498.76148,539.26624
Male,543.93988,554.06606,512.93814,564.6596,531.63266,512.4708,515.43076
Male,495.10048,472.82286,508.4982,520.33804,462.3851,485.90898,493.38678
Female,629.38932,587.48246,614.74528,640.60602,598.07602,618.79576,665.37622
Female,404.74372,403.809,402.40692,460.51566,411.4426,367.9779,406.76896
Male,408.17104,375.92306,406.61318,382.6219,391.96918,387.13974,425.30768
Male,543.39462,507.71926,508.4982,537.63046,518.00122,508.18664,546.82194
Male,506.16138,481.54698,506.62878,460.51566,513.95076,484.81848,484.6627
Male,489.88162,464.9556,469.31764,478.97648,467.60398,472.27762,478.50912
Male,546.74406,561.38806,551.10608,548.6135,535.83892,551.26188,585.84672
Male,559.75232,525.0117,531.71056,547.1335,496.65836,538.25364,530.77584
Male,537.16312,529.99688,512.70448,557.88284,531.39896,536.85154,569.25534
Female,621.44414,627.51986,550.24926,578.75838,561.31018,577.97944,619.10732
Female,457.08832,446.96216,456.62096,477.3407,447.74108,446.0274,507.56348
Male,399.91432,399.75854,378.10406,448.6758,418.6088,384.49136,417.20672
Female,453.81678,448.3642,463.16402,457.86726,453.97258,467.83768,463.16404
Female,504.60354,454.9073,510.52344,512.08134,522.05172,565.51642,568.94378
Male,370.39256,306.83128,290.78518,485.67534,292.49882,394.53964,443.61274
Female,454.67364,477.10704,450.62314,455.91992,440.96434,472.5892,523.99908
Male,479.59964,488.01214,462.15142,496.26888,503.43514,478.82068,506.2393
Male,473.6797,435.20018,431.30548,474.30288,427.56658,456.54306,483.8059
Male,441.5875,480.69014,402.95218,457.78938,466.2019,423.6719,431.92862
Female,379.0388,374.20938,366.5758,439.79592,395.86384,392.43652,458.49042
Male,504.993,506.3951,474.14708,516.52126,528.3611,513.40554,520.26018
Male,427.17714,393.21546,407.54788,479.36594,436.2128,412.5331,442.44432
Female,369.22418,397.11014,420.63406,381.5314,348.50442,378.72722,428.26762
Male,478.74278,456.3094,411.2868,453.661,413.31204,481.39118,500.55304
Male,543.93986,508.5761,517.61178,523.53172,510.13398,506.70666,555.62394
